,Season,Name,Last Name,Followers(k),Age,City,State,Country,Occupation,Outcome,Elimination_Week,Place,Note,Was_Bachelorette
169,5,Debbie,Merkett,,27.0,Pinetops,North Carolina,USA,Massage therapist/bartender,Week 2,2,,,0
170,5,Jean-Marie,Callahan,,26.0,Gibson,North Carolina,USA,Hair stylist,Week 2,2,,,0
171,16,Jaclyn,Swartz,,27.0,Newton,Massachusetts,USA,Advertising account manager,Week 3,3,14.0,,0
172,5,Kristy,Romero,,25.0,Dearborn,Michigan,USA,Student,Week 2,2,,,0
173,5,Mandy,Clemens,,25.0,San Diego,California,USA,Professional soccer player,Week 2,2,,,0
174,5,Jenny,De Schiralli,,26.0,Carrboro,North Carolina,USA,Swim instructor/nanny/personal trainer,Week 3,3,,,0
175,5,Jessica,Holcomb,,25.0,Pearsall,Texas,USA,Attorney,Week 3,3,,,0
176,5,Julie,Durda,,24.0,Sacramento,California,USA,Professional Cheerleader,Week 3,3,,,0
177,16,Samantha,Levey,,26.0,Pittsburgh,Pennsylvania,USA,Advertising account manager,Week 4,4,13.0,,0
178,5,Karen,Lindsay,,28.0,Pleasant Grove,Utah,USA,Pharmaceutical sales,Week 4,4,,,0
